-=row,  =center, =prec, =flex,=resl,=team, =pmat, =rely, =data, =cplx,=ruse, =docu,  =time,  =stor,  =pvol,  =acap,  =pcap, =pcon,  =apex,  =plex,  =ltex,  =tool, =site,  =sced,   $kloc,  <effort, -defects, -months
19,2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,13,60,683,14.8
20,5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,11.4,98.8,704,15.5
21,2,    h,    h,    h,   vh,     h,     n,     n,     h,    n,    n,     n,     n,     n,     n,     h,    n,     n,     n,     h,     h,    n,     n,90,444,3343,26.7
22,5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,19.3,155,1191,18.6
23,2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,8,42,420,12.5
24,5,    h,    h,    h,   vh,     l,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,101,750,4840,32.4
25,5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     n,    n,     n,219,2120,11761,42.8
26,5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     n,    n,     n,50,370,2685,25.4
27,2,    h,    h,    h,   vh,     h,    vh,     h,     h,    n,    n,    vh,    vh,     n,    vh,    vh,    n,    vh,     n,     h,     h,    n,     l,227,1181,6293,33.8
28,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,25.9,117.6,808,15.3
29,5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,151,432,6136,26.2
30,2,    h,    h,    h,   vh,     h,     n,     h,    vh,    n,    n,     n,     n,     l,     h,    vh,    n,     n,     l,     n,     n,    n,     l,70,278,2950,20.2
31,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,24.6,117.6,767,15
32,5,    h,    h,    h,   vh,     l,     n,     l,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,34,72,1555,16.2
33,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,0.9,8.4,28,4.9
34,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,7.7,31.2,240,10.1
35,5,    h,    h,    h,   vh,     l,     n,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,98,300,4907,24.4
36,6,    h,    h,    h,   vh,     l,    vh,     l,    xh,    n,    n,    xh,    vh,     l,     h,     h,    n,    vh,    vl,     h,     n,    n,     n,980,4560,50961,96.4
37,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,8.2,36,256,10.4
38,5,    h,    h,    h,   vh,     l,     n,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,85,300,4256,23.2
39,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,9.7,25.2,302,11
40,5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,20,240,813,12.8
41,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,2.2,8.4,69,6.6
42,5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,111,600,4511,23.5
43,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,3.5,10.8,109,7.8
44,5,    h,    h,    h,   vh,     l,     h,    vh,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,162,756,7553,32.4
45,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,66.6,352.8,2077,21
46,5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,233,8211,8848,53.1
47,5,    h,    h,    h,   vh,     l,     h,     h,    vh,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,352,1200,17597,42.9
48,1,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,    xh,    xh,     l,     h,     h,    n,     h,     n,     h,     h,    n,     n,7.5,72,226,13.6
49,2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,16.3,480,1253,21.5
50,5,    h,    h,    h,   vh,     l,     h,     n,    vh,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,165,97,7867,31.5
51,2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,6.2,12,477,15.4
52,5,    h,    h,    h,   vh,     h,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,60,409,2004,24.9
53,2,    h,    h,    h,   vh,     n,     h,     n,    vh,    n,    n,    vh,    vh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,3,38,231,12
54,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,    xh,     l,     h,     n,    n,     h,     n,     h,     n,    n,     n,32.5,60,1276,20.8
55,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,19.7,60,614,13.9
56,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,66.6,300,2077,21
57,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,29.5,120,920,16
58,2,    h,    h,    h,   vh,     n,     h,     n,     n,    n,    n,     h,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,15,90,575,15.2
59,2,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     n,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,38,210,1553,21.3
60,2,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     n,     n,     h,    n,     h,     n,     n,     n,    n,     n,10,48,427,12.4
61,2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     h,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,16,114,887,16.4
62,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,15.4,70,765,14.5
63,2,    h,    h,    h,   vh,     h,     n,     h,     h,    n,    n,    vh,     h,     l,     h,     h,    n,     n,     l,     h,     n,    n,     l,177.9,1248,7998,31.5
64,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,48.5,239,2409,21.4
65,6,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     h,    n,     n,     n,     n,     n,    n,     n,302,2400,8543,38.4
66,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,16.3,82,810,14.8
67,5,    h,    h,    h,   vh,     h,     n,     h,     l,    n,    n,     n,     n,     h,     h,     n,    n,     h,     n,     n,     h,    n,     n,282.1,1368,9820,37.3
68,5,    h,    h,    h,   vh,     h,     h,     h,     l,    n,    n,     n,     n,     n,     h,     n,    n,     h,     n,     n,     n,    n,     n,284.7,973,8518,38.1
69,5,    h,    h,    h,   vh,     n,     h,     h,     n,    n,    n,     n,     n,     l,     n,     h,    n,     h,     n,     h,     n,    n,     n,79,400,2327,26.9
70,5,    h,    h,    h,   vh,     l,     l,     n,     n,    n,    n,     n,     n,     l,     h,    vh,    n,     h,     n,     h,     n,    n,     n,423,2400,18447,41.9
71,6,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,    vh,    vh,    n,     n,     h,     h,     n,    n,     n,350,720,8547,35.7
72,5,    h,    h,    h,   vh,     h,     n,     n,     n,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     l,     h,     n,    n,     n,190,420,5092,30.3
73,5,    h,    h,    h,   vh,     h,     h,     n,    xh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     h,    n,     n,70,458,2404,27.5
74,5,    h,    h,    h,   vh,     h,     n,     n,     h,    n,    n,     n,     h,     n,     h,     n,    n,     h,     n,     h,     n,    n,     n,47.5,252,2007,22.3
75,5,    h,    h,    h,   vh,     h,     h,     n,    xh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     h,    n,     n,271,2460,9308,43.4
76,5,    h,    h,    h,   vh,     l,    vh,     n,    xh,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     h,    n,     n,21,107,1058,21.3
77,5,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,90,162,2743,25
78,5,    h,    h,    h,   vh,     n,     n,     n,     n,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,40,150,1219,18.9
79,5,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     h,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,137,636,4210,32.2
80,5,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     h,     n,     h,     h,     h,    n,     h,     n,     h,     n,    n,     n,150,882,5848,36.2
81,5,    h,    h,    h,   vh,     h,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,100,703,3340,29.6
82,5,    h,    h,    h,   vh,     n,    vh,     n,     h,    n,    n,     h,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,339,444,8477,45.9
83,2,    h,    h,    h,   vh,     n,     h,    vh,    vh,    n,    n,    xh,    xh,     h,     n,     n,    n,     n,     l,     l,     n,    n,     n,32,1350,2984,33.6
84,5,    h,    h,    h,   vh,     n,     l,     h,     l,    n,    n,     n,     n,     h,     h,     h,    n,     h,     n,     h,     n,    n,     n,240,192,10313,37.1
85,2,    h,    h,    h,   vh,     h,     h,     h,     h,    n,    n,    vh,    xh,     h,     h,     h,    n,     h,     h,     h,     n,    n,     n,53,480,2227,28.8
86,5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,144,576,6129,28.8
87,3,    h,    h,    h,   vh,     h,     h,     l,    vh,    n,    n,    vh,    xh,     l,    vh,    vh,    n,    vh,    vl,    vl,     h,    n,     n,41,599,1594,23
88,3,    h,    h,    h,   vh,     h,     h,     l,    vh,    n,    n,    vh,    xh,     l,    vh,    vh,    n,    vh,    vl,    vl,     h,    n,     n,24,430,933,19.2
89,5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,165,4178.2,6266,47.3
90,5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,65,1772.5,2468,34.5
91,5,    h,    h,    h,   vh,     h,    vh,     h,    vh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,70,1645.9,2658,35.4
92,5,    h,    h,    h,   vh,     h,    vh,     h,    xh,    n,    n,    xh,    xh,     n,     h,     h,    n,     h,     h,     h,     n,    n,     n,50,1924.5,2102,34.2
93,5,    h,    h,    h,   vh,     l,    vh,     l,    vh,    n,    n,    vh,    xh,     l,     h,     n,    n,     l,    vl,     l,     h,    n,     n,7.25,648,406,15.6
